sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00629-B-20240423	e00629-B-20240423	1	e00629-B_S94_L001_R1_001.fastq.gz	e00629-B_S94_L001_R2_001.fastq.gz	27739	27739	23990	23990	5947	5947	5545	5545	5505	5505
e00629-C-20240423	e00629-C-20240423	1	e00629-C_S169_L001_R1_001.fastq.gz	e00629-C_S169_L001_R2_001.fastq.gz	22048	22048	21743	21743	108	108	40	40	40	40
e00630-A-20240423	e00630-A-20240423	1	e00630-A_S20_L001_R1_001.fastq.gz	e00630-A_S20_L001_R2_001.fastq.gz	25497	25497	25145	25145	19867	19867	15496	15496	15193	15193
e00630-B-20240423	e00630-B-20240423	1	e00630-B_S95_L001_R1_001.fastq.gz	e00630-B_S95_L001_R2_001.fastq.gz	34586	34586	34107	34107	31811	31811	31063	31063	30726	30726
e00630-C-20240423	e00630-C-20240423	1	e00630-C_S170_L001_R1_001.fastq.gz	e00630-C_S170_L001_R2_001.fastq.gz	27117	27117	26726	26726	26658	26658	26476	26476	25954	25954
e00631-A-20240423	e00631-A-20240423	1	e00631-A_S21_L001_R1_001.fastq.gz	e00631-A_S21_L001_R2_001.fastq.gz	25199	25199	24856	24856	21398	21398	21152	21152	20766	20766
e00631-B-20240423	e00631-B-20240423	1	e00631-B_S96_L001_R1_001.fastq.gz	e00631-B_S96_L001_R2_001.fastq.gz	34936	34936	34474	34474	27005	27005	26814	26814	26789	26789
e00631-C-20240423	e00631-C-20240423	1	e00631-C_S171_L001_R1_001.fastq.gz	e00631-C_S171_L001_R2_001.fastq.gz	25118	25118	24766	24766	24715	24715	24524	24524	24393	24393
e00632-A-20240423	e00632-A-20240423	1	e00632-A_S22_L001_R1_001.fastq.gz	e00632-A_S22_L001_R2_001.fastq.gz	26817	26817	26424	26424	14537	14537	9467	9467	9455	9455
e00632-B-20240423	e00632-B-20240423	1	e00632-B_S97_L001_R1_001.fastq.gz	e00632-B_S97_L001_R2_001.fastq.gz	25965	25965	25601	25601	24643	24643	24532	24532	24503	24503
e00632-C-20240423	e00632-C-20240423	1	e00632-C_S172_L001_R1_001.fastq.gz	e00632-C_S172_L001_R2_001.fastq.gz	20492	20492	20221	20221	20186	20186	20178	20178	20178	20178
e00633-A-20240423	e00633-A-20240423	1	e00633-A_S23_L001_R1_001.fastq.gz	e00633-A_S23_L001_R2_001.fastq.gz	29075	29075	28692	28692	19357	19357	18345	18345	18264	18264
e00633-B-20240423	e00633-B-20240423	1	e00633-B_S98_L001_R1_001.fastq.gz	e00633-B_S98_L001_R2_001.fastq.gz	37403	37403	36881	36881	29562	29562	29169	29169	28656	28656
e00633-C-20240423	e00633-C-20240423	1	e00633-C_S173_L001_R1_001.fastq.gz	e00633-C_S173_L001_R2_001.fastq.gz	31697	31697	31292	31292	23920	23920	23694	23694	23334	23334
e00634-A-20240423	e00634-A-20240423	1	e00634-A_S24_L001_R1_001.fastq.gz	e00634-A_S24_L001_R2_001.fastq.gz	16695	16695	16464	16464	14274	14274	12863	12863	12636	12636
e00634-B-20240423	e00634-B-20240423	1	e00634-B_S99_L001_R1_001.fastq.gz	e00634-B_S99_L001_R2_001.fastq.gz	17418	17418	17180	17180	14250	14250	13952	13952	13910	13910
e00634-C-20240423	e00634-C-20240423	1	e00634-C_S174_L001_R1_001.fastq.gz	e00634-C_S174_L001_R2_001.fastq.gz	16739	16739	16523	16523	13399	13399	13254	13254	13131	13131
e00635-A-20240423	e00635-A-20240423	1	e00635-A_S25_L001_R1_001.fastq.gz	e00635-A_S25_L001_R2_001.fastq.gz	16067	16067	15863	15863	12660	12660	12290	12290	12241	12241
e00635-B-20240423	e00635-B-20240423	1	e00635-B_S100_L001_R1_001.fastq.gz	e00635-B_S100_L001_R2_001.fastq.gz	18375	18375	18099	18099	15209	15209	13534	13534	13454	13454
e00635-C-20240423	e00635-C-20240423	1	e00635-C_S175_L001_R1_001.fastq.gz	e00635-C_S175_L001_R2_001.fastq.gz	10230	10230	10082	10082	9258	9258	9086	9086	8945	8945
e00636-A-20240423	e00636-A-20240423	1	e00636-A_S26_L001_R1_001.fastq.gz	e00636-A_S26_L001_R2_001.fastq.gz	17249	17249	17007	17007	15831	15831	15474	15474	15128	15128
e00636-B-20240423	e00636-B-20240423	1	e00636-B_S101_L001_R1_001.fastq.gz	e00636-B_S101_L001_R2_001.fastq.gz	25235	25235	24848	24848	18660	18660	16841	16841	16714	16714
e00636-C-20240423	e00636-C-20240423	1	e00636-C_S176_L001_R1_001.fastq.gz	e00636-C_S176_L001_R2_001.fastq.gz	11184	11184	11010	11010	10851	10851	10683	10683	10449	10449
e00637-A-20240423	e00637-A-20240423	1	e00637-A_S27_L001_R1_001.fastq.gz	e00637-A_S27_L001_R2_001.fastq.gz	20880	20880	20611	20611	11990	11990	10213	10213	10187	10187
e00637-B-20240423	e00637-B-20240423	1	e00637-B_S102_L001_R1_001.fastq.gz	e00637-B_S102_L001_R2_001.fastq.gz	23816	23816	23480	23480	10028	10028	9764	9764	9760	9760
e00637-C-20240423	e00637-C-20240423	1	e00637-C_S177_L001_R1_001.fastq.gz	e00637-C_S177_L001_R2_001.fastq.gz	13490	13490	13292	13292	7090	7090	6996	6996	6980	6980
e00638-A-20240423	e00638-A-20240423	1	e00638-A_S28_L001_R1_001.fastq.gz	e00638-A_S28_L001_R2_001.fastq.gz	19141	19141	18848	18848	17941	17941	17611	17611	17526	17526
e00638-B-20240423	e00638-B-20240423	1	e00638-B_S103_L001_R1_001.fastq.gz	e00638-B_S103_L001_R2_001.fastq.gz	23545	23545	18688	18688	10415	10415	9755	9755	9743	9743
e00638-C-20240423	e00638-C-20240423	1	e00638-C_S178_L001_R1_001.fastq.gz	e00638-C_S178_L001_R2_001.fastq.gz	9527	9527	9409	9409	9384	9384	9275	9275	9275	9275
e00639-A-20240423	e00639-A-20240423	1	e00639-A_S29_L001_R1_001.fastq.gz	e00639-A_S29_L001_R2_001.fastq.gz	24159	24159	23850	23850	21465	21465	19596	19596	19162	19162
e00639-B-20240423	e00639-B-20240423	1	e00639-B_S104_L001_R1_001.fastq.gz	e00639-B_S104_L001_R2_001.fastq.gz	31819	31819	31400	31400	31218	31218	30666	30666	30383	30383
e00639-C-20240423	e00639-C-20240423	1	e00639-C_S179_L001_R1_001.fastq.gz	e00639-C_S179_L001_R2_001.fastq.gz	16609	16609	16392	16392	16343	16343	16147	16147	15863	15863
e00640-A-20240423	e00640-A-20240423	1	e00640-A_S30_L001_R1_001.fastq.gz	e00640-A_S30_L001_R2_001.fastq.gz	21347	21347	21040	21040	10819	10819	10603	10603	10551	10551
e00640-B-20240423	e00640-B-20240423	1	e00640-B_S105_L001_R1_001.fastq.gz	e00640-B_S105_L001_R2_001.fastq.gz	26358	26358	25991	25991	25838	25838	25424	25424	25179	25179
e00640-C-20240423	e00640-C-20240423	1	e00640-C_S180_L001_R1_001.fastq.gz	e00640-C_S180_L001_R2_001.fastq.gz	15205	15205	15002	15002	14960	14960	14824	14824	14772	14772
e00641-A-20240423	e00641-A-20240423	1	e00641-A_S31_L001_R1_001.fastq.gz	e00641-A_S31_L001_R2_001.fastq.gz	26136	26136	25782	25782	24502	24502	24167	24167	23811	23811
e00641-B-20240423	e00641-B-20240423	1	e00641-B_S106_L001_R1_001.fastq.gz	e00641-B_S106_L001_R2_001.fastq.gz	37207	37207	36651	36651	34764	34764	34186	34186	33689	33689
e00641-C-20240423	e00641-C-20240423	1	e00641-C_S181_L001_R1_001.fastq.gz	e00641-C_S181_L001_R2_001.fastq.gz	16850	16850	16614	16614	16543	16543	16281	16281	15988	15985
e00642-A-20240423	e00642-A-20240423	1	e00642-A_S32_L001_R1_001.fastq.gz	e00642-A_S32_L001_R2_001.fastq.gz	17265	17265	16999	16999	12001	12001	11693	11693	11659	11659
e00642-B-20240423	e00642-B-20240423	1	e00642-B_S107_L001_R1_001.fastq.gz	e00642-B_S107_L001_R2_001.fastq.gz	19272	19272	18978	18978	18749	18749	18490	18490	18457	18457
e00642-C-20240423	e00642-C-20240423	1	e00642-C_S182_L001_R1_001.fastq.gz	e00642-C_S182_L001_R2_001.fastq.gz	8660	8660	8535	8535	8501	8501	8396	8396	8333	8333
e00643-A-20240423	e00643-A-20240423	1	e00643-A_S33_L001_R1_001.fastq.gz	e00643-A_S33_L001_R2_001.fastq.gz	14657	14657	14475	14475	12091	12091	11905	11905	11864	11864
e00643-B-20240423	e00643-B-20240423	1	e00643-B_S108_L001_R1_001.fastq.gz	e00643-B_S108_L001_R2_001.fastq.gz	19254	19254	18950	18950	3197	3197	3035	3035	3035	3035
e00643-C-20240423	e00643-C-20240423	1	e00643-C_S183_L001_R1_001.fastq.gz	e00643-C_S183_L001_R2_001.fastq.gz	15864	15864	15685	15685	15631	15631	15435	15435	15306	15306
e00644-A-20240423	e00644-A-20240423	1	e00644-A_S34_L001_R1_001.fastq.gz	e00644-A_S34_L001_R2_001.fastq.gz	16316	16316	16074	16074	10461	10461	5704	5704	5704	5704
e00644-B-20240423	e00644-B-20240423	1	e00644-B_S109_L001_R1_001.fastq.gz	e00644-B_S109_L001_R2_001.fastq.gz	17502	17502	17267	17267	4937	4937	4752	4752	4752	4752
e00644-C-20240423	e00644-C-20240423	1	e00644-C_S184_L001_R1_001.fastq.gz	e00644-C_S184_L001_R2_001.fastq.gz	8930	8930	8810	8810	7887	7887	7876	7876	7876	7876
e00645-A-20240423	e00645-A-20240423	1	e00645-A_S35_L001_R1_001.fastq.gz	e00645-A_S35_L001_R2_001.fastq.gz	19031	19031	18759	18759	17955	17955	17254	17254	17058	17058
e00645-B-20240423	e00645-B-20240423	1	e00645-B_S110_L001_R1_001.fastq.gz	e00645-B_S110_L001_R2_001.fastq.gz	12532	12532	12338	12338	8204	8204	8010	8010	7860	7860
e00645-C-20240423	e00645-C-20240423	1	e00645-C_S185_L001_R1_001.fastq.gz	e00645-C_S185_L001_R2_001.fastq.gz	18664	18664	18396	18396	16225	16225	16007	16007	15823	15823
e00646-A-20240423	e00646-A-20240423	1	e00646-A_S36_L001_R1_001.fastq.gz	e00646-A_S36_L001_R2_001.fastq.gz	17268	17268	17036	17036	13729	13729	13496	13496	13229	13229
e00646-B-20240423	e00646-B-20240423	1	e00646-B_S111_L001_R1_001.fastq.gz	e00646-B_S111_L001_R2_001.fastq.gz	10786	10786	10618	10618	4866	4866	4678	4678	4555	4555
e00646-C-20240423	e00646-C-20240423	1	e00646-C_S186_L001_R1_001.fastq.gz	e00646-C_S186_L001_R2_001.fastq.gz	13565	13565	13363	13363	6245	6245	6135	6135	6135	6135
e00647-A-20240423	e00647-A-20240423	1	e00647-A_S37_L001_R1_001.fastq.gz	e00647-A_S37_L001_R2_001.fastq.gz	19747	19747	19495	19495	12167	12167	12017	12017	11981	11981
e00647-B-20240423	e00647-B-20240423	1	e00647-B_S112_L001_R1_001.fastq.gz	e00647-B_S112_L001_R2_001.fastq.gz	15151	15151	14526	14526	14262	14262	14036	14036	13785	13785
e00647-C-20240423	e00647-C-20240423	1	e00647-C_S187_L001_R1_001.fastq.gz	e00647-C_S187_L001_R2_001.fastq.gz	20110	20110	19839	19839	16151	16151	15965	15965	15756	15756
e00648-A-20240423	e00648-A-20240423	1	e00648-A_S38_L001_R1_001.fastq.gz	e00648-A_S38_L001_R2_001.fastq.gz	18422	18422	18205	18205	14003	14003	13903	13903	13870	13870
e00648-B-20240423	e00648-B-20240423	1	e00648-B_S113_L001_R1_001.fastq.gz	e00648-B_S113_L001_R2_001.fastq.gz	25268	25268	24942	24942	24753	24753	24590	24590	24370	24370
e00648-C-20240423	e00648-C-20240423	1	e00648-C_S188_L001_R1_001.fastq.gz	e00648-C_S188_L001_R2_001.fastq.gz	19518	19518	19260	19260	18401	18401	18315	18315	18263	18263
e00649-A-20240423	e00649-A-20240423	1	e00649-A_S39_L001_R1_001.fastq.gz	e00649-A_S39_L001_R2_001.fastq.gz	22838	22838	22481	22481	3082	3082	2973	2973	2973	2973
e00649-B-20240423	e00649-B-20240423	1	e00649-B_S114_L001_R1_001.fastq.gz	e00649-B_S114_L001_R2_001.fastq.gz	20129	20129	19874	19874	16111	16111	15833	15833	15810	15810
e00649-C-20240423	e00649-C-20240423	1	e00649-C_S189_L001_R1_001.fastq.gz	e00649-C_S189_L001_R2_001.fastq.gz	13772	13772	13581	13581	13537	13537	13408	13408	13399	13399
e00650-A-20240423	e00650-A-20240423	1	e00650-A_S40_L001_R1_001.fastq.gz	e00650-A_S40_L001_R2_001.fastq.gz	17944	17944	17677	17677	11240	11240	10942	10942	10879	10879
e00650-B-20240423	e00650-B-20240423	1	e00650-B_S115_L001_R1_001.fastq.gz	e00650-B_S115_L001_R2_001.fastq.gz	12409	12409	12242	12242	9374	9374	9023	9023	9006	9006
e00650-C-20240423	e00650-C-20240423	1	e00650-C_S190_L001_R1_001.fastq.gz	e00650-C_S190_L001_R2_001.fastq.gz	15788	15788	15575	15575	15069	15069	14857	14857	14596	14596
e00651-A-20240423	e00651-A-20240423	1	e00651-A_S41_L001_R1_001.fastq.gz	e00651-A_S41_L001_R2_001.fastq.gz	15652	15652	15435	15435	11681	11681	11522	11522	11390	11390
e00651-B-20240423	e00651-B-20240423	1	e00651-B_S116_L001_R1_001.fastq.gz	e00651-B_S116_L001_R2_001.fastq.gz	18123	18123	17854	17854	7466	7466	7354	7354	7354	7354
